"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"Colistine;""54"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""24"";56;""37.5"";""24.9"";""51.5"";""au-dessus"""
"Colistine;""45"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""57"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""49"";48;""0"";""0"";""7.4"";""dans la moyenne"""
"Colistine;""07"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""56"";41;""2.4"";""0.1"";""12.9"";""dans la moyenne"""
"Colistine;""15"";102;""6.9"";""2.8"";""13.6"";""dans la moyenne"""
"Colistine;""25"";156;""8.3"";""4.5"";""13.8"";""dans la moyenne"""
"Colistine;""44"";69;""2.9"";""0.4"";""10.1"";""dans la moyenne"""
"Colistine;""16"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""05"";22;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""18"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""48"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""43"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""09"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""17"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""22"";120;""17.5"";""11.2"";""25.5"";""au-dessus"""
"Colistine;""55"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""67"";14;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""21"";135;""0"";""0"";""2.7"";""en-dessous"""
"Colistine;""68"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""41"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""19"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""82"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""08"";39;""5.1"";""0.6"";""17.3"";""dans la moyenne"""
"Colistine;""14"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""63"";57;""3.5"";""0.4"";""12.1"";""dans la moyenne"""
"Colistine;""31"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""27"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""23"";138;""10.1"";""5.7"";""16.4"";""dans la moyenne"""
"Colistine;""33"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""42"";142;""5.6"";""2.5"";""10.8"";""dans la moyenne"""
"Colistine;""88"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""37"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""72"";32;""0"";""0"";""10.9"";""dans la moyenne"""
"Colistine;""64"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""NR"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""53"";116;""6.9"";""3"";""13.1"";""dans la moyenne"""
"Colistine;""59"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""39"";92;""3.3"";""0.7"";""9.2"";""dans la moyenne"""
"Colistine;""85"";121;""5.8"";""2.4"";""11.6"";""dans la moyenne"""
"Colistine;""81"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""46"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""73"";33;""3"";""0.1"";""15.8"";""dans la moyenne"""
"Colistine;""04"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""32"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""52"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""12"";115;""5.2"";""1.9"";""11"";""dans la moyenne"""
"Colistine;""61"";194;""1"";""0.1"";""3.7"";""en-dessous"""
"Colistine;""76"";31;""6.5"";""0.8"";""21.4"";""dans la moyenne"""
"Colistine;""36"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""78"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""69"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""89"";25;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""26"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""40"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""50"";240;""2.1"";""0.7"";""4.8"";""en-dessous"""
"Colistine;""86"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""35"";294;""5.4"";""3.1"";""8.7"";""dans la moyenne"""
"Colistine;""80"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""03"";425;""2.1"";""1"";""4"";""en-dessous"""
"Colistine;""79"";20;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""02"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""38"";32;""71.9"";""53.3"";""86.3"";""au-dessus"""
"Colistine;""51"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""58"";92;""2.2"";""0.3"";""7.6"";""dans la moyenne"""
"Colistine;""29"";59;""8.5"";""2.8"";""18.7"";""dans la moyenne"""
"Colistine;""60"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""28"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""87"";123;""9.8"";""5.1"";""16.4"";""dans la moyenne"""
"Colistine;""01"";64;""9.4"";""3.5"";""19.3"";""dans la moyenne"""
"Colistine;""71"";87;""1.1"";""0"";""6.2"";""dans la moyenne"""
"Colistine;""62"";35;""11.4"";""3.2"";""26.7"";""dans la moyenne"""
"Colistine;""70"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""74"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""90"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""